City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
8,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,Pension Maro'i
15,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
16,Atuona,PF,79.41,few clouds,-9.8,-139.0333,Villa Enata
23,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
31,Hithadhoo,MV,82.02,broken clouds,-0.6,73.0833,Scoop Guest House
32,Sao Felix Do Xingu,BR,87.66,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
36,Kavaratti,IN,80.94,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
39,Dabakala,CI,89.02,few clouds,8.3667,-4.4333,Hôtel Campement
40,Sorong,ID,78.82,broken clouds,-0.8833,131.25,The Waigo Hotel
41,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
42,Fare,PF,81.19,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
44,Karratha,AU,78.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
46,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
48,Boyolangu,ID,75.34,light rain,-8.1181,111.8935,Yos ega cv
52,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Bubaque,GW,77.54,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
63,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
73,Bonthe,SL,80.29,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
74,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
76,Nouakchott,MR,78.8,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
82,Cidreira,BR,75.96,clear sky,-30.1811,-50.2056,Hotel Castelo
89,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
93,Bambous Virieux,MU,80.6,broken clouds,-20.3428,57.7575,Casa Tia Villa
95,Abreus,CU,84.2,light rain,22.2775,-80.5675,
105,Arawa,PG,77.74,broken clouds,-6.2132,155.5367,Coastline Guest House
106,Bengkulu,ID,76.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Innisfail,AU,77.0,overcast clouds,-17.5333,146.0333,Moondarra Motel
110,Faanui,PF,80.96,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Koumac,NC,76.62,overcast clouds,-20.5667,164.2833,Le Monitel
124,Castro,BR,76.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
126,Villa Carlos Paz,AR,90.0,clear sky,-31.4241,-64.4978,Monte Carlo
129,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
131,Alta Floresta,BR,76.8,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
132,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
134,Quatre Cocos,MU,80.6,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
139,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
143,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
