City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,54.77,83,92,5.39,overcast clouds
1,Busselton,AU,-33.65,115.3333,64.0,99,98,1.01,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,53.46,80,98,1.95,overcast clouds
3,Presque Isle,US,46.6811,-68.0159,26.6,50,1,9.22,clear sky
4,Butaritari,KI,3.0707,172.7902,80.87,80,100,20.38,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,59.0,47,40,12.66,scattered clouds
6,East London,ZA,-33.0153,27.9116,71.6,88,40,3.44,light rain
7,Sakakah,SA,29.9697,40.2064,55.4,62,0,6.91,clear sky
8,Rikitea,PF,-23.1203,-134.9692,77.32,72,91,12.3,overcast clouds
9,Hobart,AU,-42.8794,147.3294,53.6,58,40,11.5,scattered clouds
10,Port Lincoln,AU,-34.7333,135.8667,59.14,80,69,16.31,broken clouds
11,Barrow,US,71.2906,-156.7887,-22.0,76,40,10.36,haze
12,Andra,RU,62.5147,65.8878,1.67,94,100,10.54,light snow
13,Lincoln,US,40.8,-96.667,7.0,78,90,9.22,light snow
14,Sibenik,HR,43.7272,15.9058,59.0,88,90,13.8,overcast clouds
15,Vaini,TO,-21.2,-175.2,78.8,89,75,12.66,light rain
16,Atuona,PF,-9.8,-139.0333,79.41,75,23,21.63,few clouds
17,Ushtobe,KZ,45.2514,77.9838,32.65,96,100,9.19,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,68.0,75,2,1.01,clear sky
19,Port Alfred,ZA,-33.5906,26.891,66.99,95,99,9.22,light rain
20,Avera,US,33.194,-82.5271,48.99,76,90,8.05,overcast clouds
21,Dikson,RU,73.5069,80.5464,-31.72,85,90,12.55,overcast clouds
22,Ilebo,CD,-4.3167,20.5833,74.14,81,100,0.83,overcast clouds
23,Touros,BR,-5.1989,-35.4608,87.8,58,40,17.27,scattered clouds
24,Gudalur,IN,9.6833,77.2667,66.02,59,0,2.15,clear sky
25,New Norfolk,AU,-42.7826,147.0587,53.6,58,40,11.5,scattered clouds
26,Talnakh,RU,69.4865,88.3972,-21.93,73,7,3.4,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,69.8,23,0,12.66,clear sky
28,Qaanaaq,GL,77.484,-69.3632,12.2,86,74,5.61,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,69.01,60,0,25.32,clear sky
30,Ponta Do Sol,PT,32.6667,-17.1,60.01,68,51,5.01,broken clouds
31,Hithadhoo,MV,-0.6,73.0833,82.02,70,83,8.19,broken clouds
32,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.66,58,29,3.53,scattered clouds
33,Hasaki,JP,35.7333,140.8333,33.8,80,75,2.3,broken clouds
34,Ribeira Grande,PT,38.5167,-28.7,60.8,72,40,16.11,scattered clouds
35,Longyearbyen,SJ,78.2186,15.6401,15.8,73,75,19.57,light snow
36,Kavaratti,IN,10.5669,72.642,80.94,69,46,8.66,scattered clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,60.8,88,90,25.32,light rain
38,Walvis Bay,NA,-22.9575,14.5053,64.99,82,1,6.91,clear sky
39,Dabakala,CI,8.3667,-4.4333,89.02,32,13,3.31,few clouds
40,Sorong,ID,-0.8833,131.25,78.82,86,57,5.41,broken clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,17.27,light rain
42,Fare,PF,-16.7,-151.0167,81.19,74,98,11.83,overcast clouds
43,Esperance,AU,-33.8667,121.9,62.6,88,75,11.5,broken clouds
44,Karratha,AU,-20.7377,116.8463,78.24,71,0,9.57,clear sky
45,Kapaa,US,22.0752,-159.319,60.8,77,1,4.61,clear sky
46,Avarua,CK,-21.2078,-159.775,82.4,78,40,11.5,scattered clouds
47,Victoria,HK,22.2855,114.1577,68.0,85,0,11.07,clear sky
48,Boyolangu,ID,-8.1181,111.8935,75.34,91,100,5.68,light rain
49,Oyama,JP,36.3,139.8,48.0,59,20,1.14,few clouds
50,Nikolskoye,RU,59.7035,30.7861,17.6,86,90,11.18,light snow
51,Tucumcari,US,35.1717,-103.725,62.6,13,1,13.8,clear sky
52,Mahebourg,MU,-20.4081,57.7,80.6,74,75,6.91,broken clouds
53,Hilo,US,19.7297,-155.09,73.99,52,1,8.05,clear sky
54,Tiksi,RU,71.6872,128.8694,-28.01,84,24,3.91,few clouds
55,Torbay,CA,47.6666,-52.7314,33.01,55,20,27.63,few clouds
56,Hudiksvall,SE,61.729,17.1036,10.99,83,0,5.86,clear sky
57,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,5.75,clear sky
58,Thompson,CA,55.7435,-97.8558,-31.0,68,90,18.41,snow
59,Fort Frances,CA,48.5999,-93.4003,-16.01,52,1,9.22,clear sky
60,Muros,ES,42.7762,-9.0603,55.99,94,100,10.0,overcast clouds
61,San Patricio,US,28.017,-97.5169,73.4,49,1,12.66,clear sky
62,Bubaque,GW,11.2833,-15.8333,77.54,65,0,17.81,clear sky
63,Lorengau,PG,-2.0226,147.2712,81.81,79,100,7.02,overcast clouds
64,Tasiilaq,GL,65.6145,-37.6368,19.4,58,0,2.3,clear sky
65,Provideniya,RU,64.3833,-173.3,-3.75,78,95,16.75,overcast clouds
66,Sisimiut,GL,66.9395,-53.6735,24.3,81,0,15.08,clear sky
67,Sindor,RU,62.8629,51.8905,-19.66,86,100,10.54,overcast clouds
68,Kaitangata,NZ,-46.2817,169.8464,61.0,93,100,5.99,overcast clouds
69,Hokitika,NZ,-42.7167,170.9667,56.61,82,31,6.24,scattered clouds
70,Ventspils,LV,57.3894,21.5606,15.8,92,0,2.3,clear sky
71,Matagami,CA,49.7502,-77.6328,10.4,79,75,11.5,light snow
72,Norman Wells,CA,65.282,-126.8329,-27.4,75,75,2.3,light snow
73,Bonthe,SL,7.5264,-12.505,80.29,78,28,9.82,scattered clouds
74,Yulara,AU,-25.2406,130.9889,75.2,33,0,8.05,clear sky
75,Lavrentiya,RU,65.5833,-171.0,-11.07,84,0,7.07,clear sky
76,Nouakchott,MR,18.0858,-15.9785,78.8,19,0,12.66,clear sky
77,Visby,SE,57.6409,18.296,23.0,100,75,5.75,light snow
78,Khatanga,RU,71.9667,102.5,-30.17,80,0,9.93,clear sky
79,Parana,AR,-31.732,-60.5238,93.0,36,0,4.0,clear sky
80,Saldanha,ZA,-33.0117,17.9442,66.2,63,0,20.71,clear sky
81,Turukhansk,RU,65.8167,87.9833,7.36,95,100,18.32,light snow
82,Cidreira,BR,-30.1811,-50.2056,75.96,64,0,10.98,clear sky
83,Nuuk,GL,64.1835,-51.7216,33.8,40,0,6.91,clear sky
84,Te Anau,NZ,-45.4167,167.7167,56.44,77,100,3.15,heavy intensity rain
85,Fortuna,US,40.5982,-124.1573,51.01,81,75,7.92,broken clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,83,75,5.75,light intensity drizzle
87,Port-Cartier,CA,50.0334,-66.8654,24.01,54,6,5.75,clear sky
88,Chokurdakh,RU,70.6333,147.9167,-22.59,86,99,7.85,overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,78.8,100,40,13.8,scattered clouds
90,Birmitrapur,IN,22.4,84.7667,55.15,41,0,5.14,clear sky
91,Klaksvik,FO,62.2266,-6.589,35.6,69,20,13.8,light intensity drizzle
92,Gravdal,NO,68.1214,13.5031,33.8,69,40,16.11,scattered clouds
93,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,75,6.91,broken clouds
94,Ahipara,NZ,-35.1667,173.1667,61.27,84,31,8.14,scattered clouds
95,Abreus,CU,22.2775,-80.5675,84.2,70,40,11.5,light rain
96,Airai,TL,-8.9266,125.4092,60.46,100,100,2.82,overcast clouds
97,Taoudenni,ML,22.6783,-3.9836,65.97,26,0,8.97,clear sky
98,Saskylakh,RU,71.9167,114.0833,-37.95,78,25,12.33,scattered clouds
99,Benito Juarez,MX,19.385,-99.165,73.4,25,1,4.61,clear sky
100,Jamestown,US,42.097,-79.2353,18.0,73,90,17.27,light snow
101,Weinan,CN,34.5036,109.5089,43.0,51,0,8.95,clear sky
102,Alexandria,EG,31.2156,29.9553,60.8,77,0,5.75,clear sky
103,Narsaq,GL,60.9167,-46.05,37.4,30,32,47.18,scattered clouds
104,Jiuquan,CN,39.7432,98.5174,29.95,71,100,4.36,overcast clouds
105,Arawa,PG,-6.2132,155.5367,77.74,80,56,2.04,broken clouds
106,Bengkulu,ID,-3.8004,102.2655,76.05,85,100,6.93,overcast clouds
107,Qena,EG,26.1615,32.7183,69.8,46,0,2.3,clear sky
108,Albany,US,42.6001,-73.9662,30.99,74,100,4.23,light snow
109,Innisfail,AU,-17.5333,146.0333,77.0,90,100,3.96,overcast clouds
110,Faanui,PF,-16.4833,-151.75,80.96,76,5,11.86,clear sky
111,Nishihara,JP,26.1842,127.7558,62.6,67,1,3.44,clear sky
